variable_name,pressure,temperature,wind_speed,roughness_length,temperature,wind_speed
2019-01-02 13:00:00,102400,258.63,1.16,0.15,258.53,1.29
2019-01-02 14:00:00,102330,258.78,0.32,0.15,258.68,0.29
2019-01-02 15:00:00,102250,258.35,0.3,0.15,258.25,0.36
2019-01-02 16:00:00,102120,256.73,1.69,0.15,256.63,2.41
2019-01-02 17:00:00,102060,255.63,2.74,0.15,255.53,4.37
2019-01-02 18:00:00,102020,256.07,3.26,0.15,255.97,5.69
2019-01-02 19:00:00,101940,256.52,4.41,0.15,256.42,6.37
2019-01-02 20:00:00,101810,256.15,5.3,0.15,256.05,6.67
2019-01-02 21:00:00,101680,255.7,5.73,0.15,255.6,6.8
2019-01-02 22:00:00,101520,255.48,5.8,0.15,255.38,6.73
2019-01-02 23:00:00,101350,256.05,5.42,0.15,255.95,6.44
2019-01-03 00:00:00,101170,257.07,5.35,0.15,256.97,6.4
2019-01-03 01:00:00,101060,258.08,5.3,0.15,257.98,6.3
2019-01-03 02:00:00,100910,258.52,5.54,0.15,258.42,6.46
2019-01-03 03:00:00,100790,258.43,5.66,0.15,258.33,6.55
2019-01-03 04:00:00,100710,258.23,5.49,0.15,258.13,6.45
2019-01-03 05:00:00,100700,258.08,5.12,0.15,257.98,6.12
2019-01-03 06:00:00,100710,257.95,4.31,0.15,257.85,5.41
2019-01-03 07:00:00,100730,257.85,3.63,0.15,257.75,4.89
2019-01-03 08:00:00,100780,258.17,3.37,0.15,258.07,4.4
2019-01-03 09:00:00,100850,259.16,2.94,0.15,259.06,3.47
2019-01-03 10:00:00,100890,260.63,2.59,0.15,260.53,2.97
2019-01-03 11:00:00,100850,262.69,3.17,0.15,262.59,3.61
2019-01-03 12:00:00,100790,264.05,3.22,0.15,263.95,3.62
2019-01-03 13:00:00,100760,265.27,3.56,0.15,265.17,4.08
2019-01-03 14:00:00,100760,265.8,3.69,0.15,265.7,4.35
2019-01-03 15:00:00,100770,265.8,3.28,0.15,265.7,4.6
2019-01-03 16:00:00,100800,265.14,2.78,0.15,265.04,5.36
2019-01-03 17:00:00,100850,264.43,2.88,0.15,264.33,5.86
2019-01-03 18:00:00,100860,264.12,2.67,0.15,264.02,5.11
2019-01-03 19:00:00,100800,264.18,2.49,0.15,264.08,4.35
2019-01-03 20:00:00,100710,264.56,2.73,0.15,264.46,4.84
2019-01-03 21:00:00,100650,265.39,3.28,0.15,265.29,6.57
2019-01-03 22:00:00,100610,266.57,3.67,0.15,266.47,7.75
2019-01-03 23:00:00,100570,267.6,4.28,0.15,267.5,8.82
2019-01-04 00:00:00,100550,268.63,5.37,0.15,268.53,9.24
2019-01-04 01:00:00,100510,269.33,5.46,0.15,269.23,8.64
2019-01-04 02:00:00,100420,269.77,5.03,0.15,269.67,8.07
2019-01-04 03:00:00,100310,270.03,4.82,0.15,269.93,8.08
2019-01-04 04:00:00,100270,270.63,5.45,0.15,270.53,8.9
2019-01-04 05:00:00,100260,271.53,5.66,0.15,271.43,9.11
2019-01-04 06:00:00,100220,272.05,5.74,0.15,271.95,9.49
2019-01-04 07:00:00,100260,272.19,6.42,0.15,272.09,10.19
2019-01-04 08:00:00,100250,272.48,6.55,0.15,272.38,9.82
2019-01-04 09:00:00,100200,273.38,6.65,0.15,273.28,9.06
2019-01-04 10:00:00,100170,273.73,6.48,0.15,273.63,8.83
2019-01-04 11:00:00,100140,273.84,6.57,0.15,273.74,9.02
2019-01-04 12:00:00,100120,273.91,6.8,0.15,273.81,9.38
2019-01-04 13:00:00,100120,273.95,6.6,0.15,273.85,9.31
2019-01-04 14:00:00,100140,273.96,6.1,0.15,273.86,8.94
2019-01-04 15:00:00,100150,273.9,5.47,0.15,273.8,8.37
2019-01-04 16:00:00,100170,273.75,4.55,0.15,273.65,7.65
2019-01-04 17:00:00,100200,273.77,4.54,0.15,273.67,8.03
2019-01-04 18:00:00,100250,273.84,4.61,0.15,273.74,8.02
2019-01-04 19:00:00,100280,273.85,4.45,0.15,273.75,7.73
2019-01-04 20:00:00,100270,273.73,3.92,0.15,273.63,7.09
2019-01-04 21:00:00,100240,273.55,3.41,0.15,273.45,6.37
2019-01-04 22:00:00,100190,273.38,2.93,0.15,273.28,5.62
2019-01-04 23:00:00,100150,273.23,2.44,0.15,273.13,4.7
2019-01-05 00:00:00,100130,273.12,2.03,0.15,273.02,3.68
